family	class	css_tokens	source_references	css_files
external-icon	fa-solid	3	513	base.css
external-icon	fa-regular	3	11	base.css
external-icon	fas	3	0	base.css
external-icon	fa-chevron-down	1	7	dashboard.css
screen-candidate	btn	63	370	base.css,components-standard.css,components-system.css,components.css,dashboard.css,layouts.css
screen-candidate	topbar	31	1	base.css,drawing.css
screen-candidate	dash-widget-grid	24	1	base.css,dashboard.css
screen-candidate	tactical-pitch	22	4	components.css,tactical.css
screen-candidate	card	21	74	base.css,components-standard.css,components.css,dashboard.css
screen-candidate	anim-tool-dock	21	3	drawing.css
screen-candidate	form-control	17	143	components-standard.css,components-system.css,components.css
screen-candidate	anim-main-workspace	17	1	drawing.css
screen-candidate	anim-player-bar	17	1	drawing.css
screen-candidate	modal	16	73	base.css,components.css
screen-candidate	nav-item	14	10	base.css,components.css
screen-candidate	anim-detail-side-panel	14	4	drawing.css
screen-candidate	library-grid	13	5	base.css,dashboard.css
screen-candidate	practice-card-actions	12	1	base.css,components.css,dashboard.css
screen-candidate	sync-audit-item	12	1	components.css
screen-candidate	bottom-nav	11	7	base.css,drawing.css
screen-candidate	attendance-roster-row	11	4	components.css
screen-candidate	filmstrip-card	11	3	components-system.css,drawing.css
screen-candidate	dash-action-item	10	2	components.css
screen-candidate	sl-input	10	1	components-system.css,components.css
screen-candidate	topbar-badge	10	0	base.css
screen-candidate	topbar-btn	10	0	base.css
screen-candidate	dock-btn	9	16	drawing.css
screen-candidate	cloud-recovery-item	9	1	components.css
screen-candidate	match-card	9	1	dashboard.css
screen-candidate	operations-check	9	1	components.css
screen-candidate	player-notebook-entry	9	1	components.css
screen-candidate	nav-links	7	10	base.css
screen-candidate	operations-actions	7	6	components.css
screen-candidate	dash-rank-card	7	5	base.css,dashboard.css
screen-candidate	pwa-update-banner	7	3	components.css
screen-candidate	anim-canvas-area	7	1	drawing.css
screen-candidate	parent-access-invite	7	1	components.css
screen-candidate	player-card-header	7	1	base.css,dashboard.css
screen-candidate	player-notebook-trend	7	1	components.css
screen-candidate	sl-row	7	1	components-system.css,components.css
screen-candidate	settings-hub-item	7	0	components.css
screen-candidate	sync-status-dot	6	16	base.css,drawing.css
screen-candidate	practice-attendance-roster	6	5	components-system.css,components.css
screen-candidate	player-grid	6	4	base.css
screen-candidate	drawer-field	6	2	drawing.css
screen-candidate	insight-activity	6	1	components.css
screen-candidate	insight-recommendation	6	1	components.css
screen-candidate	match-card-actions	6	1	dashboard.css
screen-candidate	match-card-header	6	1	dashboard.css
screen-candidate	player-notebook-ratings	6	1	components.css
screen-candidate	practice-modal-actions	6	1	components-system.css,components.css
screen-candidate	team-theme-editor__heading	6	1	components-system.css
screen-candidate	ui-preferences-grid	6	1	components.css
screen-candidate	filter-accordion-item	6	0	components.css
screen-candidate	insight-metric	6	0	components.css
screen-candidate	practice-plan-block	6	0	components.css
screen-candidate	schedule-badge	6	0	dashboard.css
screen-candidate	skill-heatmap-table	6	0	dashboard.css
screen-candidate	form-group	5	18	components.css
screen-candidate	sl-section-body	5	16	components-system.css,components.css
screen-candidate	anim-caption-bar	5	4	drawing.css
screen-candidate	dash-form-item	5	3	base.css,dashboard.css
screen-candidate	sync-conflict-dialog	5	3	components.css
screen-candidate	btn-share-practice	5	2	base.css,components-system.css
screen-candidate	side-panel-toggle-btn	5	2	drawing.css
screen-candidate	decision-card	5	1	components.css
screen-candidate	insight-position-row	5	1	components.css
screen-candidate	insight-timeline-item	5	1	components.css
screen-candidate	player-participation-metric-labels	5	1	components.css
screen-candidate	player-participation-player-meta	5	1	components.css
screen-candidate	practice-card-header	5	1	base.css,dashboard.css
screen-candidate	practice-card-summary	5	1	base.css
screen-candidate	setup-checklist-copy	5	1	components.css
screen-candidate	dash-plan-summary-item	5	0	components.css
screen-candidate	dash-schedule-result-badge	5	0	dashboard.css
screen-candidate	filter-btn-group	5	0	components-standard.css,components.css
screen-candidate	form-badge	5	0	dashboard.css
screen-candidate	insight-timeline-main	5	0	components.css
screen-candidate	insights-hero	5	0	components.css
screen-candidate	insights-toolbar	5	0	components.css
screen-candidate	radar-container	5	0	base.css,dashboard.css
screen-candidate	settings-hub	5	0	components.css
screen-candidate	timeline-item	5	0	dashboard.css
screen-candidate	topbar-btn-text	5	0	base.css
screen-candidate	btn-secondary	4	148	components.css
screen-candidate	btn-primary	4	75	components.css
screen-candidate	modal-overlay	4	35	components.css
screen-candidate	toast	4	12	components.css
screen-candidate	sidebar	4	11	base.css,drawing.css
screen-candidate	dash-widget-label	4	10	base.css,dashboard.css
screen-candidate	player-number	4	8	base.css,dashboard.css
screen-candidate	anim-quick-drawer	4	6	drawing.css
screen-candidate	view-container	4	5	base.css,drawing.css
screen-candidate	anim-context-popover	4	4	drawing.css
screen-candidate	filter-search-input	4	4	components-standard.css,components-system.css,components.css
screen-candidate	mobile-more-item	4	4	base.css,components.css
screen-candidate	dash-row-2	4	3	dashboard.css
screen-candidate	filmstrip-cards-container	4	3	components-system.css,drawing.css
screen-candidate	btn-card-delete	4	2	drawing.css
screen-candidate	month-section	4	2	base.css,dashboard.css
screen-candidate	pk-kicker-row__side	4	2	components-system.css
screen-candidate	player-bar-divider	4	2	drawing.css
screen-candidate	sync-icon-wrapper	4	2	base.css
screen-candidate	ui-preference-check	4	2	components.css
screen-candidate	anim-editable-title	4	1	drawing.css
screen-candidate	csv-preview-table	4	1	dashboard.css
screen-candidate	insight-comparison	4	1	components.css
screen-candidate	insight-player-stat-grid	4	1	components.css
screen-candidate	insight-timeline-icon	4	1	components.css
screen-candidate	parent-access-create-grid	4	1	components.css
screen-candidate	parent-share-controls	4	1	components.css
screen-candidate	period-timeline-edit__controls	4	1	components-system.css
screen-candidate	player-card	4	1	base.css,dashboard.css
screen-candidate	player-notebook-form-heading	4	1	components.css
screen-candidate	player-participation-row	4	1	components.css
screen-candidate	player-position	4	1	base.css,dashboard.css
screen-candidate	practice-card	4	1	base.css,dashboard.css
screen-candidate	practice-card-details	4	1	base.css
screen-candidate	roster-checkbox-label	4	1	components.css
screen-candidate	season-report-metric	4	1	components.css
screen-candidate	setup-checklist	4	1	components.css
screen-candidate	setup-checklist-item	4	1	components.css
screen-candidate	sync-conflict-dialog-actions	4	1	components.css
screen-candidate	sync-conflict-summary	4	1	components.css
screen-candidate	workspace-select-grid	4	1	components.css
screen-candidate	dash-action-center-header	4	0	components.css
screen-candidate	dash-correlation-trend	4	0	dashboard.css
screen-candidate	formation-col-left	4	0	components.css
screen-candidate	formation-col-right	4	0	components.css
screen-candidate	insight-metric-icon	4	0	components.css
screen-candidate	insights-empty	4	0	components.css
screen-candidate	practice-rsvp-actions	4	0	components.css
screen-candidate	btn-xs	3	40	drawing.css
screen-candidate	btn-danger	3	29	components.css
screen-candidate	dock-text	3	16	drawing.css
screen-candidate	color-dot	3	6	drawing.css
screen-candidate	preset-chip	3	6	drawing.css
screen-candidate	sync-popover	3	4	base.css,drawing.css
screen-candidate	topbar-title	3	4	base.css
screen-candidate	btn-filter-detail	3	3	components-standard.css,components.css
screen-candidate	canvas-wrapper	3	3	drawing.css
screen-candidate	dash-next-event-card	3	3	dashboard.css
screen-candidate	filmstrip-timeline-wrapper	3	3	drawing.css
screen-candidate	menu-toggle	3	3	base.css
screen-candidate	mobile-context-back-btn	3	3	base.css
screen-candidate	mobile-context-bar	3	3	base.css
screen-candidate	parent-access-trust-status	3	3	components.css
screen-candidate	sidebar-overlay	3	3	base.css,drawing.css
screen-candidate	dash-form-opponent	3	2	base.css,dashboard.css
screen-candidate	dash-form-score	3	2	base.css,dashboard.css
screen-candidate	parent-access-scopes	3	2	components.css
screen-candidate	anim-header	3	1	drawing.css
screen-candidate	dash-next-event-type	3	1	dashboard.css
screen-candidate	filmstrip-card-actions	3	1	components-system.css,drawing.css
screen-candidate	main-content	3	1	base.css,drawing.css
screen-candidate	mobile-more-grid	3	1	base.css,components.css
screen-candidate	operations-check-icon	3	1	components.css
screen-candidate	parent-access-invite-actions	3	1	components.css
screen-candidate	parent-access-manager-heading	3	1	components.css
screen-candidate	parent-access-status	3	1	components.css
screen-candidate	parent-share-body	3	1	components.css
screen-candidate	player-notebook-form	3	1	components.css
screen-candidate	player-notebook-icon	3	1	components.css
screen-candidate	player-notebook-summary	3	1	components.css
screen-candidate	player-participation-player	3	1	components.css
screen-candidate	player-participation-stats	3	1	components.css
screen-candidate	practice-card-menu-list	3	1	base.css,dashboard.css
screen-candidate	practice-menu-item	3	1	base.css,dashboard.css
screen-candidate	practice-menu-item-details	3	1	base.css,dashboard.css
screen-candidate	practice-modal-close	3	1	components-system.css,components.css
screen-candidate	sl-add-row	3	1	components.css
screen-candidate	sync-audit-heading	3	1	components.css
screen-candidate	team-theme-editor__status	3	1	components-system.css
screen-candidate	topbar-back-btn	3	1	base.css
screen-candidate	topbar-mobile-role-pill	3	1	base.css
screen-candidate	workspace-actions	3	1	components.css
screen-candidate	dash-horizontal-grid	3	0	dashboard.css
screen-candidate	dash-schedule-icon	3	0	dashboard.css
screen-candidate	dash-schedule-row	3	0	dashboard.css
screen-candidate	dashboard-grid-container	3	0	dashboard.css
