file	line	classification	style
index.html	253	state	display:none;
index.html	300	state	display:none;
index.html	312	state	display:none;
index.html	458	state	display:none;
index.html	1496	state	display:none;
index.html	1610	state	display:none;
index.html	1869	state	display:none;
index.html	1918	state	display:none;
index.html	1933	state	display:none;
index.html	1946	state	display:none;
index.html	2477	state	display:none;
app.js	650	dynamic	width:${item.pct}%
app.js	678	dynamic	[colScorers, colAssists, colAttendance, colPlaytime].forEach(col => col.style.display = 'none');
app.js	679	dynamic	[h4Scorers, h4Assists, h4Attendance, h4Playtime].forEach(h => { if (h) h.style.display = 'block'; });
app.js	682	dynamic	list.style.display = 'block';
app.js	683	dynamic	list.style.columnCount = 'auto';
app.js	686	dynamic	gridCols.style.display = 'block';
app.js	691	dynamic	listEl.style.display = 'block';
app.js	692	dynamic	listEl.style.columnCount = '2';
app.js	693	dynamic	listEl.style.columnGap = '1.5rem';
app.js	699	dynamic	colScorers.style.display = 'block';
app.js	700	dynamic	if (h4Scorers) h4Scorers.style.display = 'none';
app.js	704	dynamic	colAssists.style.display = 'block';
app.js	705	dynamic	if (h4Assists) h4Assists.style.display = 'none';
app.js	709	dynamic	colAttendance.style.display = 'block';
app.js	710	dynamic	if (h4Attendance) h4Attendance.style.display = 'none';
app.js	714	dynamic	colPlaytime.style.display = 'block';
app.js	715	dynamic	if (h4Playtime) h4Playtime.style.display = 'none';
app.js	720	dynamic	[colScorers, colAssists, colAttendance, colPlaytime].forEach(col => col.style.display = 'block');
app.js	721	dynamic	gridCols.style.display = 'grid';
app.js	722	dynamic	gridCols.style.gridTemplateColumns = 'repeat(2, 1fr)';
app.js	723	dynamic	gridCols.style.gap = '1rem';
app.js	1563	dynamic	nextEventCard.style.cursor = 'pointer';
app.js	1612	dynamic	if (elBar) elBar.style.width = `${winRate}%`;
app.js	1989	dynamic	if (errorMsg) errorMsg.style.display = 'none';
app.js	2033	dynamic	if (errorMsg) errorMsg.style.display = 'block';
app.js	2075	dynamic	badge.style.background = 'rgba(242, 57, 50, 0.15)';
app.js	2076	dynamic	badge.style.color = '#ef4444';
app.js	2079	dynamic	badge.style.background = 'rgba(34, 197, 94, 0.15)';
app.js	2080	dynamic	badge.style.color = '#15803d';
